,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,rule1,rule2,rule3,rule4
18,1,1,-1,1,0,0,2,1,1,0,-1,-2,1,2,1,0,1,2,1,2,0,-1,1,"(False, True)","(False, False)","(True, True)","(True, False)"
19,-2,1,0,0,1,1,1,0,2,1,1,0,-1,1,2,1,2,1,0,0,0,0,1,"(False, True)","(False, False)","(True, True)","(True, False)"
20,1,1,0,0,-1,1,-1,-1,1,1,0,-1,1,1,0,0,1,-1,1,1,-1,-1,1,"(True, True)","(False, False)","(True, False)","(False, True)"
21,1,-1,1,-1,-1,0,-1,0,1,0,2,1,0,0,1,0,1,-1,0,-1,0,-1,-1,"(True, True)","(False, False)","(False, True)","(True, False)"
22,-2,0,-1,1,-1,1,-2,1,0,0,-1,-1,1,1,-2,1,2,-2,1,0,-1,-1,-1,"(True, True)","(True, False)","(False, False)","(False, True)"
23,0,-1,0,-1,-1,-1,1,0,1,-1,2,-1,0,0,-1,0,1,1,0,2,-1,-1,1,"(True, True)","(False, True)","(False, False)","(True, False)"
24,-1,0,-1,0,0,-1,-2,1,-1,1,1,0,0,0,0,-1,-1,-2,1,1,0,-1,-1,"(False, False)","(True, False)","(True, True)","(False, True)"
25,1,0,-1,0,-1,-1,-1,0,1,0,1,-1,0,1,-1,-1,1,-1,0,-1,-1,-1,-1,"(False, True)","(False, False)","(True, False)","(True, True)"
26,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,1,"(False, False)","(True, True)","(True, False)","(False, True)"
27,2,1,1,0,-1,1,0,0,1,1,-1,1,-1,-1,-1,0,2,0,0,1,-1,-1,0,"(True, False)","(False, False)","(True, True)","(False, True)"
28,0,0,1,0,-2,1,-2,1,-1,0,0,-2,1,2,-2,1,-2,-2,1,2,-1,-1,-1,"(True, False)","(False, True)","(True, True)","(False, False)"
29,1,0,-1,0,2,1,-2,1,1,0,1,-1,0,-2,0,0,2,-1,1,2,-1,-1,1,"(True, False)","(True, True)","(False, False)","(False, True)"
30,1,0,1,0,-1,-1,-2,1,2,1,1,-2,1,1,-1,1,0,-1,1,-1,-1,-1,-1,"(True, False)","(False, False)","(False, True)","(True, True)"
31,1,-1,1,-1,1,0,0,0,1,0,-1,1,-1,0,1,0,1,0,0,0,-1,-1,0,"(False, False)","(True, True)","(True, False)","(False, True)"
32,1,0,1,-1,-1,0,1,-1,0,-1,1,0,-1,2,-1,-1,1,1,0,0,-1,-1,1,"(False, True)","(False, False)","(True, False)","(True, True)"
33,1,-1,-1,-1,0,-1,-2,0,1,0,1,-1,-1,1,-1,-1,1,-2,0,1,-1,-1,0,"(False, False)","(True, True)","(True, False)","(False, True)"
34,2,0,1,1,1,0,-2,1,1,0,1,2,1,-1,2,0,1,-2,1,0,-1,-1,0,"(False, True)","(True, True)","(True, False)","(False, False)"
35,1,0,-1,0,1,1,-1,1,1,1,0,0,0,-1,1,0,1,-1,1,-1,-1,-1,0,"(True, False)","(True, True)","(False, True)","(False, False)"
36,2,1,1,0,-1,1,-1,0,2,1,1,1,-1,1,-1,0,1,-1,0,0,0,-1,1,"(True, False)","(False, True)","(False, False)","(True, True)"
37,1,0,1,1,-1,1,-1,0,1,1,1,1,-1,-1,-1,1,1,-2,0,0,0,-1,0,"(True, True)","(False, False)","(True, False)","(False, True)"
38,2,1,0,1,-1,1,-1,1,2,1,-1,0,1,0,-1,1,2,-1,1,1,-1,0,1,"(False, False)","(True, True)","(False, True)","(True, False)"
39,1,1,1,0,-1,1,-2,1,1,1,-1,1,0,1,-2,1,-1,-2,1,1,-1,-1,-2,"(False, True)","(True, True)","(True, False)","(False, False)"
40,1,0,-1,-1,0,-1,-2,1,-2,-1,-2,-2,0,0,0,-1,-1,0,-1,-1,1,1,-2,"(True, True)","(False, False)","(False, True)","(True, False)"
41,2,1,-2,-1,-1,0,-1,0,2,1,0,-1,0,0,1,-1,1,-1,0,-1,-1,-1,1,"(False, False)","(False, True)","(True, False)","(True, True)"
42,2,1,0,0,-1,1,2,1,2,1,2,1,0,1,-2,1,2,-1,0,1,-1,-1,1,"(True, True)","(True, False)","(False, False)","(False, True)"
43,-2,1,-1,0,-2,1,1,0,1,0,1,1,0,1,-1,0,0,1,0,0,-1,-1,-1,"(True, True)","(True, False)","(False, True)","(False, False)"
44,2,1,0,-1,-1,0,-1,1,-1,0,0,-2,0,-1,0,0,1,-1,1,1,-1,-1,0,"(False, True)","(False, False)","(True, False)","(True, True)"
45,-1,0,1,-1,-2,1,-1,1,1,0,-1,1,0,1,-1,0,1,-1,1,1,-1,-1,1,"(True, False)","(False, False)","(True, True)","(False, True)"
46,2,1,1,0,1,0,-2,1,2,1,2,1,0,2,-2,1,1,-2,1,2,0,1,2,"(True, False)","(True, True)","(False, False)","(False, True)"
47,2,0,-1,-1,0,0,0,0,-1,1,1,0,-1,1,-1,1,1,1,0,1,-1,-1,0,"(False, True)","(True, True)","(False, False)","(True, False)"
48,2,1,1,0,-1,0,-2,1,1,1,1,-1,1,1,-1,1,0,0,1,0,-1,-1,1,"(True, True)","(False, False)","(False, True)","(True, False)"
49,0,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,0,1,0,1,0,-1,0,-1,-1,1,"(False, False)","(False, True)","(True, False)","(True, True)"
50,1,0,0,0,1,0,-1,-1,1,0,1,-1,0,-1,1,0,1,-1,0,0,0,-1,0,"(True, True)","(False, True)","(True, False)","(False, False)"
51,2,1,1,0,-2,1,-2,1,2,1,1,1,0,-1,-2,1,1,-2,1,-2,-1,-1,1,"(True, False)","(False, True)","(False, False)","(True, True)"
